,Palabra clave,Texto editado,Es Eufemistico,Categoria,Fuente,Fuente de Origen (Bibliografia),Pais,Observations
128,Diferencias irreconciliables,"Siglos después, Cartagena sigue siendo una población fuertemente estratificada, donde las desigualdades sociales son notorias por el comportamiento feudal de las clases privilegiadas que durante años han detentado el poder económico y político de la ciudad, creando una preocupante marginalidad que puede ser caldo de cultivo de “diferencias irreconciliables”. En este ámbito social aparece la champeta, en Cartagena y otros lugares, como forma de expresión cultural de una población marginada y excluida en todos los aspectos en la ciudad, que se identifica fuertemente con referentes culturales africanos y que por este medio busca restituir una herencia cultural y afectiva que le fue arrebatada.",0,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Abril, Carmen: Entre la champeta y la pared. El futuro económico y cultural de la industria discográfica de Cartagena. Bogotá: Observatorio del Caribe Colombiano, 2004",Colombia,
129,Diferencias irreconciliables,"Todos los capítulos fueron revisados por académicos conocedores del tema de que se trataba y que no tomaron parte en la elaboración de los mismos. La responsabilidad final de cada capítulo fue de quienes aparecen como autores responsables y de los coautores. Las observaciones o discrepancias de los revisores fueron analizadas una por una y discutidas con los compiladores en los casos de diferencias de opinión, y resueltas satisfactoriamente para ambas partes de acuerdo con los autores responsables de los capítulos o los compiladores de cada volumen. En caso de “diferencias irreconciliables”, se incluyó una nota estableciendo el diferendo de opinión.",0,Ciencia y Tecnologia,REA (Corpes Siglo XXI),"Sarukhán, José ... [et al.]: Capital natural de México. Síntesis: Conocimiento actual, evaluación y perspectivas de sustentabilidad. México D. F.: Comisión Nacional para el Conocimiento y Uso de la Biodiversidad, 2009",Mexico,
130,Diferencias irreconciliables,"Había que disimular ""algo"". Me pidió que me fuera rápido y que no me olvidara de decirle a mi hermano que tuviera cuidado. Dos personas que habían jugado para el mismo equipo, ahora estaban en distintos bandos. El tiempo, los pensamientos, van limando lo que tenemos en común y creando “diferencias irreconciliables”. Pero siempre queda el recuerdo de una infancia compartida. Volví por la misma plaza. Y la plaza ya no era la misma. La oscuridad me penetraba. Llevaba un mensaje para transmitir: una enorme responsabilidad.",0,Novela,REA (Corpes Siglo XXI),"Rocca, Araceli: Silencio de familia. La Plata: Editorial de la Universidad de La Plata, 2016",Argentina,
131,Diferencias irreconciliables,"Las creencias han marcado el rumbo de la historia. Han desatado guerras, alimentado odios y marcado “diferencias irreconciliables”. Son capaces de movilizar a millones de personas por una causa común, y bajo su influencia se cometen las mayores hazañas y las peores destrucciones. La mayoría aparecen en nuestra vida como parte de nuestra herencia familiar y social, y echan profundas raíces en nuestra mente. No en vano, condicionan manera de comprender el mundo: son el filtro mental a través del cual interpretamos la realidad.",0,Ciencias Sociales,REA (Corpes Siglo XXI),"Orce, Irene: «Lo que crees es lo que creas». Metamorfosis. 2010-04-30",España,
132,Dar a luz,"A Mami le comenzaron los dolores por la tarde un once de agosto! Se fue a “dar a luz” poco después de oscurecer ¡llevaba una cara de susto. Recuerdo que le pregunté cuántos días tardaría en regresar, pues no quería dormir en otra casa. Le rogué que aguantara hasta la mañana siguiente, pero me explicó que eso no se podía aguantar. Me consoló diciendo que mientras más rápido se fuera, más rápido regresaría (ahora sé que no necesariamente es así).",1,Relato,REA (Corpes Siglo XXI),"Zayas, Haydée: «Sapitos de río». Anamar y otros relatos. San Juan: Universidad de Puerto Rico, 2001",Puerto Rico,
133,Dar a luz,"La inercia es una de las fuerzas más poderosas en el Paraguay, y, al paso que vamos, las maestras no solo se jubilarán a los 40 años con 25 de aportes, sino que si logran “dar a luz” hasta cinco robustos niños o niñas en ese lapso, se les descuenta un año por chico. ¡Qué generosidad!",1,Ciencias Sociales,REA (Corpes Siglo XXI),"«¿Tienen coronita?». ABC Color. Asunción: una.py/sitios/ABC, 2001-07-03",Paraguay,
134,Dar a luz,"Lupita deseaba tener hijos; sin embargo, cada vez que se embarazaba abortaba y nadie sabía por qué. Se había hecho muchos análisis, había visitado a los mejores especialistas y, finalmente, después de quince años de casada, estaba por “dar a luz”.",1,Novela,REA (Corpes Siglo XXI),"Perales Lavin, Coro: Bigote prieto. Una historia de mujeres en la Revolución mexicana. Barcelona: Nihil obstat, 2001",Mexico,
135,Dar a luz,"Cuando Ramos estaba para “dar a luz” el último hijo de Rojas, éste buscó una mujer de nombre María Barreno para que la asistiera. Durante el tiempo que Barreno, permaneció en esta casa, Rojas logró enamorarla y le manifestó ese hecho a su mujer, quien inmediatamente quiso dejarle; pero Rojas consiguió que se quedara allí junto con él y María Barreno para que atendiera a sus hijos. María Barreno insatisfecha con el hecho de que Anastasia Ramos también viviera en la misma casa, consiguió que Rojas la dejara ir so pretexto de ir a visitar a su madre para la fiesta de la Pascua, en la ""Tinajilla"".",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Díaz Szmirnov, Damaris: Génesis de la ciudad republicana: entorno, sociedad y ocio en la ciudad de Panamá. Panamá: Agenda del Centenario, 2001",Panama,
136,Dar a luz,"Cuando ocurre un incidente como el de la señora Jazmín Patricio, a punto de “dar a luz”, a quien traían a la vuelta y vuelta por toda la ciudad, exponiendo su vida y la del hijo en su vientre, uno no puede menos que pensar en la irresponsabilidad burocrática de ciertas instituciones. Estos casos suceden prácticamente todos los días y no pocas veces con resultados aciagos.",1,Salud,REA (Corpes Siglo XXI),"FARBER, GUILLERMO: «¿Salud?». Excélsior. México: 2001-09-04",Mexico,
137,Dar a luz,"Se las regalaban a una mujer que acabara de “dar a luz”. Aunque a veces la mujer moría, solían morirse como moscas las recién paridas, y entonces la enterraban con aquella ropa, que era con mucho la mejor que había tenido nunca. Eso no lo sabíamos de inmediato. Braulia se enteraba en alguna parte, y hacia los meses de febrero o marzo, cuando se acercaba la Semana Santa y mi madre empezaba de nuevo a reunir ropa para los expropiados, se paraba en jarras y exclamaba: «¿Se acuerda de la blusa azul que regaló la Navidad pasada?». Mi madre asentía, y yo, que estaba atento a la conversación, trataba en vano de rescatar el aspecto de esa blusa. «Está deshilachándose en el cementerio, doña Estela, allí es donde se está pudriendo.»",1,Novela,REA (Corpes Siglo XXI),"Montero, Mayra: El capitán de los dormidos. Barcelona: Tusquets Editores, 2002",Puerto Rico,
138,Dar a luz,"No obstante el sincero amor que unía a la pareja, sus relaciones distaban de ser fáciles. Y esto no porque el estado civil de Portelance fuera un obstáculo sentimental -su matrimonio era producto de un arreglo entre familias y Madame Portelance, ya cumplida su parte al “dar a luz” un hijo, llevaba una vida independiente en la ciudad de Boston-, sino porque sus intereses profesionales no coincidían y apenas encontraban tiempo para verse. Portelance, además de ser un ardiente idealista, era un hombre intenso y dedicado que sólo tenía ojos para sus tareas políticas; cuando no escribía en su gabinete un editorial para el Mercure, redactaba un panfleto contra el Club Massiac; cuando no asistía a una reunión de los Amis des Noirs, tenía una entrevista secreta con un agente abolicionista venido de Inglaterra. ",1,Novela,REA (Corpes Siglo XXI),"Benítez Rojo, Antonio: Mujer en traje de batalla. Madrid: Alfaguara, 2001",Cuba,
139,Dar a luz,"Había sido detenida junto a su marido al comenzar la guerra, una semana después de “dar a luz” a su segunda hija. Las niñas se quedaron con la abuela paterna. Ella fue trasladada de una cárcel a otra y acababan de traerla desde Saturrarán.",1,Novela,REA (Corpes Siglo XXI),"Chacón, Dulce: La voz dormida. Madrid: Alfaguara, 2002",España,
140,Dar a luz,"Los Arquette buscan ahora al hijo que consolide la unión, algo que Lisa Kudrow, casada desde 1995, ya consiguió al “dar a luz” a Julian (ahora de 3 años), un habitué en las grabaciones de ""Friends"". Ella y su marido cultivan una vida muy alejada del glamour de Hollywood. ",1,Arte y Cultura,REA (Corpes Siglo XXI),«Las tres están casadas». El Pais. Montevideo: 2001-10-04,Uruguay,
141,Dar a luz,"Escuchó canciones de niños. En alguna casa vecina se celebraba un cumpleaños. La voz de un adulto les acompañó y Elías escuchó absorto. Se preguntó por qué no habían tenidos hijos. Tal vez las cosas hubiesen sido diferentes. El metabolismo de una persona puede cambiar al “dar a luz”, había asegurado el doctor.",1,Relato,REA (Corpes Siglo XXI),"Calcedo, Gonzalo: «No andes descalzo por casa». Apuntes del natural. Madrid: Páginas de Espuma, 2002",España,
142,Dar a luz,"En un evento exclusivo de televisión, Nacer viaja a nueve países con zonas de horario distintas en el transcurso de un mismo día, para conocer a once familias que se preparaban para la llegada de sus nuevos miembros. Mujeres de diferentes ambientes étnicos, culturales y económicos están conectadas a través de la experiencia común de “dar a luz”. Nacer da a los televidentes la oportunidad de tener un vistazo acerca de las tradiciones únicas que rodean el nacimiento de un bebé, el primer día en la vida del niño, y cómo, en todas partes del planeta, estos recién llegados cambian drásticamente la vida de sus familias.",1,Arte y Cultura,REA (Corpes Siglo XXI),«Discovery Channel estrena el programa el 1º de enero. Nacer: la historia de 12 bebés nacidos el mismo día pero en diferente lugar». La Jornada. México D. F. 2001-12-29,Mexico,
143,Dar a luz,"-¡Ayayay! ¡Ay, Richard! ¡Ay, madrecita! ¡Que alguien me ayude! ¡Voy a “dar a luz” en el carro...! -sollozaba Antonella.",1,Novela,REA (Corpes Siglo XXI),"Celis, Luisa María: Dos zafiros y un rubí. Caracas: 2001",Venezuela,
144,Dar a luz,"Esta tremenda fuerza de la sexualidad femenina parece encerrar todo lo bueno y positivo, pero al mismo tiempo abrir paso a todo lo malo y negativo. Entre lo positivo estaría, en primer lugar, la capacidad de concebir y “dar a luz”, de cuidar y prolongar la vida, pero también de abrirse en la belleza física a la sensualidad y el placer.",1,Arte y Cultura,REA (Corpes Siglo XXI),"Robayo Alonso, Álvaro: La crítica de los valores hegemónicos en el arte colombiano. Bogotá: Convenio Andrés Bello-Ediciones Uniandes, 2001",Colombia,
145,Dar a luz,"Porque lo que hace que brote una planta no es el hombre, sino la semilla fértil, la buena tierra, el sol y la lluvia, y de modo idéntico podemos afirmar que el que enseña o dice enseñar no produce aprendizaje, esto es, no hace aprender al otro, sino que es uno mismo el que aprende, cuando es capaz de pensar por sí mismo. El aprendizaje es algo que se da en el interior de uno mismo, como el recuerdo de las cosas. El que enseña se limita a ayudar a “dar a luz” ese aprendizaje.",0,Novela,REA (Corpes Siglo XXI),"García Valiño, Ignacio: Las dos muertes de Sócrates. Madrid: Alfaguara, 2003",España,
146,Dar a luz,"Que la UE necesita sustituir la maraña de tratados por un texto más sencillo y comprensible es evidente; que redactar bien un nuevo tratado equivalga a hacer una Constitución no es tan seguro; que la UE esté madura para darse una verdadera Constitución, mucho más dudoso; que Convención y Conferencia Intergubernamental montadas, con su adobo burocrático, en la metafórica bicicleta de Hallstein -o corre o se cae- sean capaces de “dar a luz” un texto con ese nombre y vitola, más que probable. Pero eso sería una Constitución epicena. Esto es, de género, por indeterminado, ambiguo.",0,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Herrero y Rodríguez de Miñón, Miguel: «La bicicleta apócrifa». El País. Madrid: 2002-11-24",España,
147,Dar a luz,"Después de “dar a luz” otro gran ""descubrimiento"" suyo, como que ""Paraguay tiene un profesionalismo muy pobre, quizás uno de los más pobres de América, que produce un fútbol de muy bajo nivel"" (La Nación, 31-01), Markarián procedió a realizar su mejor ""acto"" del Sudamericano: Renunciar a su cargo de entrenador de la selección paraguaya. Obviamente sabía, que todos los medios lo iban a solicitar, que sería una vez más la vedette del periodismo, como sabe también, que si algo abunda acá en Paraguay son los adulones y los aplaudidores. Muchos, comenzando por el mandamás de la APF, Oscar Harrison, iban a formar cola para pedirle que se quedara.",0,"Actualidad, ocio y vida cotidiana",REA (Corpes Siglo XXI),"Peña, Sergio: «¡Basta de farsas, Markarián!». ABC Color. Asunción: 2001-02-08",Paraguay,
148,Dar a luz,"Se ha logrado “dar a luz"" una Constitución auténtica y legítima, sin que con ello se quiera dar a entender que estamos ante la Constitución perfecta e ideal, sino que es la que más se aproxima a los deseos de los partidos políticos (el 31 de octubre de 1978 fue aprobada por las Cortes Generales) y de los ciudadanos españoles (el pueblo español la ratificó en referéndum celebrado el 6 de diciembre de 1978).",0,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Martos Navarro, Fernando... [et al.]: Grupo administrativo de instituciones sanitarias del Insalud. Temario. Sevilla: MAD, 2001",España,
149,Dar a luz,"Por otra parte, la precaria situación de las personas que viven en la miseria puede determinar incluso el cambio de naturaleza de la maternidad. Algunas de sus maternidades, patéticas en extremo, denuncian la desnutrición, el desamparo y la infelicidad que produce el “dar a luz” en la pobreza absoluta. Fenómenos que se manifiestan a través de la fealdad, el desasosiego o la expresión de espanto ante el futuro.",0,Arte y Cultura,REA (Corpes Siglo XXI),"Robayo Alonso, Álvaro: La crítica de los valores hegemónicos en el arte colombiano. Bogotá: Convenio Andrés Bello-Ediciones Uniandes, 2001",Colombia,
150,Ajuste de plantilla,"Uno de los elementos que se deben concretar en los próximos días es el del “ajuste de plantilla” que será necesario acometer para que ATB desarrolle su plan industrial. Según las estimaciones que existen en estos momentos, unos 265 trabajadores deberán abandonar la nómina de Babcock; la mayor parte de ellos, por la vía de las jubilaciones anticipadas —los nacidos entre 1950 y 1952—. No se descarta, sin embargo, que haya también una oferta de indemnizaciones para conseguir algunas bajas adicionales. Otro de los elementos en discusión es el nivel de cobertura salarial que recibirán los prejubilados. Los sindicatos no aceptarán un trato menos favorable que el aplicado en el ajuste de 2001.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"«Borsig vende Babcock España al grupo austríaco ATB por sólo 100.000 euros El nuevo propietario se ha comprometido a trasladar carga de trabajo de forma inmediata a la planta vizcaína de Galindo La plantilla sufrirá un recorte superior a los 250 trabajadores MANU ÁLVAREZ. / DV. BILBAO». El Diario Vasco. San Sebastián: Digital Vasca, S. A., 2004-01-23
",España,
151,Ajuste de plantilla,"Eran las ocho y veinte de la mañana y la situación sin Torres empezaba a ser asumida por los trabajadores de la cadena. El paso del tiempo sin noticias del periodista había rebajado la sensación de incertidumbre hasta convertirla en una especie de recelo más propio de un inminente “ajuste de plantilla” o un cambio de jefatura. Es sorprendente lo fácil que nos acostumbramos a una nueva circunstancia. Hasta que apareció Susana, la chica encargada de dar los partes horarios de noticias. Gritaba histérica algo por lo que en otro momento tal vez habría tenido que dar explicaciones.",1,Novela,REA (Corpes Siglo XXI),"Santos Unamuno, Carlos: Cabello de ángel. Madrid: Bubok, 2011",España,
152,Ajuste de plantilla,"En septiembre, el grupo automovilístico anunció un “ajuste de plantilla” que afectará a 14.000 trabajadores de la compañía en toda Europa, el 11,4% de sus empleados en el Viejo Continente, donde da trabajo a 123.000 personas. El recorte de plantilla se efectuará hasta finales de 2008 y se realizará principalmente a las instalaciones del grupo en Alemania.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),«Volkswagen seguirá con su plan de recortar 14.000 empleos a pesar del aumento de los beneficios». Madrid:  2006-03-07,España,
153,Ajuste de plantilla,General Dynamics garantiza el mantenimiento de la plantilla actual durante cinco años e incluso a partir del año dos mil tres un incremento de esa misma plantilla mientras que en el caso de Krauss–Maffei estaban considerándose como imprescindibles unas reducciones y un “ajuste de plantilla” de cerca de cuarenta por cien de la misma por lo tanto el proceso creo que es enormemente positivo así lo estima el Gobierno y de ahí su aprobación en el día de hoy también en lo que se refiere a la Sociedad Estatal de Participaciones Industriales hoy el Consejo ha autorizado a vender su participación en la empresa Conversión.,1,Entrevista,REA (Corpes Siglo XXI),"Nombre: Cabanillas Alonso, Pío. Sexo: hombre. Grupo de edad: 35-54. Nivel de estudios: superior. Profesión: ministro portavoz del Gobierno de España",España,
154,Ajuste de plantilla,"El “ajuste de plantilla” de la mayoría de las empresas se ha llevado a cabo a partir de la no renovación, así ha sido en los últimos dos años y seguirá siendo, pero ya no quedan tantos, y ahora toca adentrarse en el siniestro mundo de los indefinidos. Para eso se aprueban reformas laborales y gaitas con mayonesa.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Vidal, Marc: Contra la cultura del subsidio: la microburguesía low cost y su escasa iniciativa empresarial. Barcelona: Gestión 2000, 2010",España,
155,Ajuste de plantilla,"El “ajuste de plantilla” se completará de forma paralela mediante bajas incentivadas, instrumentalizadas dentro del citado ERE, para todos aquellos que no se encuentren en el grupo de edad afectado (52 años en adelante). en cualquier caso, estas extinciones de contrato serán voluntarias por parte de los trabajadores, negociadas de manera individual según los casos y supeditadas a su aceptación por la Dirección de RTVE para minimizar su impacto en la estructura de la compañía.",1,Arte y Cultura,REA (Corpes Siglo XXI),"«El Congreso ratifica hoy la ley de RTVE y empieza el ERE, que afectará a los mayores de 52 años» Madrid: 2006-05-11",España,
156,Ajuste de plantilla,"La aprobación de esta normativa es la luz verde que esperaba la Sociedad Estatal de Participaciones Industriales (SEPI) para reactivar el severo “ajuste de plantilla” diseñado para RTVE, que prevé la salida de 3.133 empleados, el 39 por ciento de los trabajadores con contrato fijo o indefinido. La cifra aumenta hasta el 44 por ciento si se computan los contratos por obra o artísticos.",1,Arte y Cultura,REA (Corpes Siglo XXI),"«El Congreso ratifica hoy la ley de RTVE y empieza el ERE, que afectará a los mayores de 52 años» Madrid: 2006-05-11",España,
157,Ajuste de plantilla,"El “ajuste de plantilla” afectaría a 512 empleados, entre tripulantes de cabina y pilotos, que se desglosan en 164 personas en Girona, 156 en Tenerife Sur, 110 en Gran Canaria y 82 en Lanzarote. El secretario de organización de USO Ryanair, Jairo Gonzalo, ha confirmado que los empleados han recibido esta notificación por parte de la aerolínea irlandesa cuando el sindicato estaba reunido con la dirección de la compañía.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),«¿Podrás seguir volando con Ryanair en Canarias?». ABC. Madrid: 2019-08-23,España,
158,Ajuste de plantilla,Latinoamérica se verá muy afectada por el “ajuste de plantilla” de Chrysler que suprimirá 26.000 empleos.,1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"«EFE. / WASHINGTON». El Diario Vasco. San Sebastián: Sociedad Vascongada de Publicaciones, 2001-01-31",España,
159,Ajuste de plantilla,El “ajuste de plantilla” también afectará a las tiendas de Gran Bretaña e Irlanda.,1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"«CIERRE. El grupo comercial cerrará sus 38 centros de Europa continental, incluidos los nueve de España». El Norte de Castilla. Valladolid: 2001-03-30",España,
160,Redimensionamiento,"En mayo de 1994, luego de un proceso de “redimensionamiento” y reestructuración de la empresa iniciado en febrero de 1992, se declaró desierto el concurso internacional convocado para la transferencia de la empresa al sector privado por ausencia de postores. ",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Ruiz Caro, Ariela: El proceso de privatizaciones en el Perú durante el período 1991-2002. Santiago de Chile: Naciones Unidas, CEPAL, 2002",Peru,
161,Redimensionamiento,"La dimensión política y de ciudadanización trabaja, a su vez, la capacidad de generar cultura democrática desde la escuela, y por esta vía ayuda al “redimensionamiento” de lo público, incluyendo lo cotidiano. Desde esta dimensión se trabaja conceptual y procedimentalmente la gestión democrática de los procesos de construcción de conocimiento, de su uso y su validación, no sólo al interior de la institución educativa, sino también en la comunidad.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Gimeno, Mª Consuelo: Las ciencias sociales en los procesos educativos de sujetos democráticos. Santo Domingo: Centro Cultural Poveda, 2001",Republica Dominicana,
162,Redimensionamiento,"Así lo confesó Martínez de Hoz, ministro de Economía de esa dictadura, cuando le dijo al diario La Prensa, el 12 de noviembre de 1978, preanunciando los planes de entrega de los últimos gobiernos: ""Que lo fundamental es el “redimensionamiento” del Estado y que se liquidarán o privatizarán 39 empresas nacionales y 40 provinciales. Por ahora avanzamos lentamente, como si fuéramos cuesta arriba; luego en el llano, iremos más rápidamente. Y finalmente, puede ocurrir que vayamos barranca abajo, y a toda velocidad""",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Pacheco, Santiago: La guerra de las Malvinas. Buenos Aires: Agora, 2001",Argentina,
163,Sobrepeso,"La obesidad constituye un serio problema de salud pública, sobre todo en las sociedades occidentales, y tiene visos de epidemia en muchos países, incluyendo México. Es evidente el papel sicodinámico que en muchos casos domina en la iniciación y perpetuación del “sobrepeso”, sobre todo por crisis generales y existenciales que estamos viviendo.",1,Salud,REA (Corpes Siglo XXI),"Tanur, Bernardo: «El Peso». Excélsior. Ciudad de México: 2001-06-23",Mexico,
164,Sobrepeso,"En otros resultados de los judokas pinoleros, Judith Calero (78 kilos) y Maricela Lazo (57) concluyeron en el cuarto lugar. Oscar Bojorge en los 73 fue descalificado por “sobrepeso”. En tiro deportivo, la selección compuesta por Norman Ortega, Evelio Gutiérrez y Pablo Guerrero, se clasificaron en el cuarto lugar a las finales de Tiro Rápido a 25 Metros con Pistola.",1,"Actualidad, ocio y vida cotidiana",REA (Corpes Siglo XXI),"Padilla, Hijalmar: «Milton cumplió». La Prensa. Managua: 2001-11-30",Nicaragua,
165,Sobrepeso,"Estábamos pegando los afiches del concierto que se haría en la hoy mítica Jato Hardcore de Barranco. Pertenecía al viejo de un chibolo con “sobrepeso” apodado El Bombo. Era un niño fanático de grupos finlandeses como Terveet Kädet o Appendix, que creía en el supuesto compromiso social del hardcore. El afiche tenía un pitufo en el centro y llevaba impresos insultos hacia gente que llamaban El Mono Rafo, Chibolo de Oro,Chapulín, y a quienes, según el texto, les iban a cortar los huevos, iban a ser incinerados y luego ahorcados, para que no pudieran robar nunca más ni maquetas ni fanzines.",1,Novela,REA (Corpes Siglo XXI),"Torres Rotondo, Carlos: Nuestros años salvajes. Lima: Alfaguara, 2001",Peru,
166,Sobrepeso,"No quisiera insistir sobre el punto... ¿Sabe lo que pasó al comienzo, al inicio de todo? Cambio de paisaje. Cambio de carácter. Lo que era una cosa, fue otra. Los con “sobrepeso” adelgazaron. Los delgados engordaron hasta reventar. Los tímidos florecieron. Los cancheros se intimidaron. Los bondadosos se envilecieron. Los tramposos se limpiaron. La televisión por cable se humanizó. La televisión abierta se espiritualizó. Los McDonalds se sofisticaron. Cambio de temperamento. Los que eran una cosa fueron otra.",1,Teatro,REA (Corpes Siglo XXI),"Galemiri, Benjamín: Edipo asesor. Santiago de Chile: Secretaría de Comunicación y Cultura (SECC), 2001",Chile,
167,Sobrepeso,"Los hidratos de carbono son nuestra fuente principal de energía. Se dividen en dos clases: los almidones o féculas como el pan y otros cereales, pasta italiana, arroz, legumbres, patatas y algunas verduras y los azúcares como el azúcar, miel, galletas, pasteles, chocolates, mermeladas, helados, caramelos y bebidas azucaradas. Un exceso de hidratos de carbono, especialmente azúcares, se convierte en grasa en el cuerpo y ello produce “sobrepeso” y obesidad.",1,Salud,REA (Corpes Siglo XXI),"Pons Geis, Pilar: Tercera edad, actividad física y salud. Teoría y práctica. Barcelona: Paidotribo, 2001",España,
168,Sobrepeso,"Las candidatas ideales para hacerse este tipo de operación son las mujeres de entre 18 y 30 años de edad con depósitos de grasa muy localizados. Es un tratamiento que ofrece mejores resultados y pocas complicaciones en mujeres jóvenes con piel elástica. Sin embargo, las candidatas no deben tener un “sobrepeso” fuera de control. Una persona con más de 10 kilos extras en el cuerpo debe eliminar el sobrepeso antes de someterse a una liposucción.",1,Salud,REA (Corpes Siglo XXI),"Cámara Trejo, Ángela: «Liposucción, moldear el cuerpo tiene su precio». El Universal. Ciudad de México: 2001-11-24",Mexico,
169,Sobrepeso,"Entre 1976 y 1998 el número de niños con peso deficiente al nacer (bajo tres kilos) ha registrado una sostenida baja. Si bien ello es positivo y refleja una población mejor alimentada y un país más desarrollado, el otro lado de la moneda se expresa en que en el mismo período los alumbramientos con “sobrepeso” natal (igual o superior a los 4 kilos) ha experimentado un aumento de un 167%.",1,Salud,REA (Corpes Siglo XXI),"Pereira, Jorge: «Entre 1976 y 1998 el número de guaguas nacidas con cuatro kilos o más se ha incrementado en un 167%. Aumentan nacidos con sobrepeso durante las últimas dos décadas». La Tercera. Santiago de Chile: 2001-05-18",Chile,
170,Sobrepeso,"En países en desarrollo se ha demostrado que el retardo de crecimiento comienza tan temprano como a los 2-3 meses. Sin embargo, hay dos aspectos a tener en cuenta: el primero es que la mayoría de los niños no habían tenido lactancia materna exclusiva, por lo que su crecimiento pudo haber estado comprometido por la presencia de infecciones o por un inadecuado ingreso de nutrientes. En segundo lugar, los patrones de referencia utilizados están basados en el crecimiento de niños alimentados predominantemente con fórmulas, que es diferente al de los niños con lactancia exclusiva, lo que no implica necesariamente un crecimiento óptimo ni más saludable para los primeros (por el contrario, para algunos autores podrían constituir patrones de crecimiento de sobrealimentación, predictores de “sobrepeso”).",1,Salud,REA (Corpes Siglo XXI),"Sociedad Argentina de Pediatría. Comité de Nutrición Argentina: Guía de alimentación para niños sanos de 0 a 2 años. Argentina: Sociedad Argentina de Pediatría, 2001",Argentina,
171,Sobrepeso,"Sin embargo, los colegas de Gutiérrez Vivó parecen ignorar todo esto; es más, le hacen el vacío. Hay algunos que se mofan de sus manotazos sobre el escritorio. Otros lo catalogan de ""histérico"", mientras que algunos de sus ex empleados —después de terminar con “sobrepeso” o con delgadez enfermiza— lo tildan de ""tirano"".",1,Arte y Cultura,REA (Corpes Siglo XXI),"García, Elvira: «Monitor, Radio Centro y el respeto a la audiencia». El Universal. México D.F. 2001-12-25",Mexico,
172,Sobrepeso,"La diabetes 2 es cada vez más frecuente y tiene que ver con el estilo de vida sedentario y el “sobrepeso”. Si en 1990 había en el mundo treinta millones de diabéticos, hoy la cifra se ha multiplicado por cinco y en el 2010 la Organización Mundial de la Salud calcula que habrá unos 250 millones.",1,Salud,REA (Corpes Siglo XXI),"«LAS NIÑAS QUE NACEN AHORA NO TENDRÁN QUE PREOCUPARSE DEL CÁNCER DE MAMA». Revista de Nutrición XXI. Santiago de Chile: Instituto de Nutrición y Tecnología de los Alimentos de la Universidad de Chile, 2001-09-01",Chile,
173,Sobrepeso,"Este problema afecta a un creciente porcentaje de la población occidental, cada vez a edades más tempranas, y se debe a un almacenamiento excesivo de energía en forma de grasas. La obesidad suele desencadenar otros problemas colaterales, provocados por el “sobrepeso”. La sustitución parcial o total de ácidos grasos saturados por ácidos poliinsaturados, como los que contiene el aceite de onagra, facilita la pérdida de peso estimulando la conversión de grasas en energía y, con el tiempo, contribuye a reequilibrar las funciones del metabolismo.",1,Salud,REA (Corpes Siglo XXI),"Cebrián, Jordi: El poder curativo de la onagra. Las perlas doradas para la belleza y la salud. Barcelona: RBA Libros, 2001",España,
174,Sobrepeso,"En Colombia, el “sobrepeso” y la obesidad cada día aumentan. Diferentes estudios señalan que un 30-40 por ciento de la población tiene un peso no adecuado. Es un problema de salud pública muy importante, que cada día crece, dice Hernán Yupanqui, médico endocrinólogo, presidente de la Asociación Colombiana de Obesidad y Metabolismo (Ascom).",1,Salud,REA (Corpes Siglo XXI),"Ortega Guerrero, Marisol: «Guías para el manejo de la obesidad». El Tiempo. Bogotá: 2001-09-18",Colombia,
175,Sobrepeso,"La azotea interrumpía su plano horizontal con una compuerta por donde se accedía al cielo raso; era una especie de buhardilla con alero frontal, posiblemente sacrificada para no provocar “sobrepeso” en las estructuras superiores. Allí mi padre quiso instalar su estudio de pintor, pero corrían sus mejores tiempos de bohemia y de aquel atelier sólo quedaban unos cuantos caballetes adosados a las paredes y un viejo ropero color marrón con el nombre de mi padre inscrito en letras de molde color oro.",0,Novela,REA (Corpes Siglo XXI),"Zaldívar, Mario: Después de la luz roja. San José: Perro Azul, 2001",Costa Rica,
176,Salida voluntaria,"La medida prescribe la eliminación del sueldo. Se pudo conocer que otros 10 agentes solicitaron la “salida voluntaria” de la institución, luego de revelarse su participación en delitos menores.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Guillén, Érika: «Suspenden a 35 poliaraguas por presuntos ilícitos». EL Caracas: 2007-02-27",Venezuela,
