,Palabra clave,Texto editado,Es Eufemistico,Categoria,Fuente,Fuente de Origen (Bibliografia),Pais,Observations,,,,,,,,,,,,,,,,,,
104,Amigos con derecho,"Qué gano olvidándote (en su versión urbana con Zion & Lennox), Yo quisiera (el tema con el que se dieron a conocer como agrupación) y “Amigos con Derechos” (ft. Maluma), Me niego (ft. Ozuna y Wisin) mostrando un lado más suelto y bailarín de Jesús, que cada vez que se acercaba a las fans de las primeras localidades, con Bibi o Julio, causaba nuevamente un grito ensordecedor (todo el sector debió escuchar a las fans).",0,Arte and Cultura,REA (Corpes Siglo XXI),"«Reik y CNCO, protagonistas de una explosiva fiesta musical». El Universo. Guayaquil: 2018-11-25.",Ecuador,,,,,,,,,,,,,,,,,,,
105,Amigos con derecho,"Fue entonces cuando el tal Absalón gritó ""me voy"", mareado e irascible, y puso un bultito de billetes nuevos sobre la mesa: ¡Abracadabra!, ¡pum! Un nuevo émulo vestido de punta en blanco cantaba, como si fuera la última vez, “Amigos con derechos” de Jhon Alex Castaño: ""Pa’ qué te digo que me enamoro si es mentira"" y ""son tantas las cosas ricas que quiero hacer contigo"" y ""amigos con derechos y cada quien para su casa"". El amigote del muchacho de la droguería, ""Puentes, Coco Puentes"".",0,Novela,REA (Corpes Siglo XXI),"Silva Romero, Ricardo: Cómo perderlo todo. Bogotá: Penguin Random House Grupo Editorial, 2018",Colombia,,,,,,,,,,,,,,,,,,,
106,Problemas de bolsillo,"Pedro había dejado el trabajo de la conservera de Bermeo más o menos cuando nació Cosme, el hijo de José Luis, y se dedicaba desde entonces en exclusiva a ser el representante y entrenador de su amigo. Seguía sin casarse y sin novia y vivía con sus padres, pero se había hecho bastante putero, lo cual le acarreaba “problemas de bolsillo” y conciencia y le obligaba a frecuentes visitas a los confesionarios.",1,Novela,REA (Corpes Siglo XXI),"Bas, Juan: La cuenta atrás. Barcelona: Destino, 2004",España,,,,,,,,,,,,,,,,,,,
107,Problemas de bolsillo,"En la misma cuerda, el publicista Carlos Páez Rodríguez opina que los “problemas de bolsillo” no tienen por qué condicionar la sexualidad. ""Deberíamos desatender un poco el tema económico y dedicarnos más al sexo. Todos estamos demasiado pendientes de la crisis, incluso con algunas cuotas de masoquismo. A veces la solución a tantos problemas puede pasar por ...hacer la plancha"", ironiza el sobreviviente de la Tragedia de los Andes, que no discute su fama de playboy.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Silvana Silveira: «La crisis en la cama». Paula. Montevideo: paula.com.uy, 2002-11",Uruguay,,,,,,,,,,,,,,,,,,,
108,Privación de libertad,"El representante del Ministerio Fiscal, Luis Palenzuela, presentó las conclusiones del proceso seguido por la Fiscalía y las pruebas por estos hechos, constitutivos de un delito de terrorismo sancionado en el Código Penal cubano en su Artículo 106. Por los delitos imputados, la Fiscalía ha solicitado inicialmente una pena de 30 años de “privación de libertad” para Nadel Kamal Musalam, 25 años para Jacid Iván Fernández Mendoza, y 20 años para María Elena González Meza.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Rassí, Reynold: «Inician juicio a terroristas guatemaltecos detenidos en nuestro país en 1998». Granma-Órgano oficial del PCC. La Habana: 2001-11-16",Cuba,,,,,,,,,,,,,,,,,,,
109,Privación de libertad,"Incurren en él quienes en forma oral o escrita —mediante la confección, distribución o simple posesión de propaganda— difunden noticias falsas o predicciones maliciosas que tienden a causar alarma, descontento o desorden público en la población. La pena se agrava hasta quince años de “privación de libertad” si se utilizan medios de comunicación masiva.",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Bernal, Beatriz: CUBA Y SUS LEYES. ESTUDIOS HISTÓRICO-JURÍDICOS. México D. F.: Universidad Nacional Autónoma de México, 2002",Cuba,,,,,,,,,,,,,,,,,,,
110,Privación de libertad,"Según relata el juez en el auto de procesamiento, «la decisión acerca de la “privación de libertad” de Ortega Lara fue directa e inmediatamente adoptada y comunicada a los ejecutores materiales por Julián Achurra Egurola, procediendo Juan Luis Aguirre Lete conjunta y acordadamente con los demás mencionados partícipes por medio de la entrega del dinero para subvenir a las necesidades materiales de la operación de detención de Ortega Lara, hasta la cantidad de treinta millones de pesetas».",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"«Aguirre Lete, «Isuntza»». La Razón. Madrid: Grupo Planeta, 2001-12-03",España,,,,,,,,,,,,,,,,,,,
111,Privación de libertad,"De la misma forma, se debe aplicar la legislación penal sustantiva, en los Delitos contra la Economía Nacional, la Industria y el Comercio, que en el artículo 227 (Destrucción de Productos), indica: ""El que destruyere artículos de abastecimiento diario, materias primas o productos agrícolas o industriales o medios de producción, con grave perjuicio de la riqueza o del consumo nacional, será sancionado con “privación de libertad” de uno a tres años""",1,Ciencia y Tecnologia,REA (Corpes Siglo XXI),"Gutiérrez Durán, Crisósforo: Petróleo y medio ambiente en Bolivia. Cochabamba: Imprenta JV, 2001",Bolivia,,,,,,,,,,,,,,,,,,,
112,Privación de libertad,"En todo caso, tendrán derecho a un trabajo remunerado y a los beneficios correspondientes de la Seguridad Social, así como al acceso a la cultura y al desarrollo integral de su personalidad. La Administración civil no podrá imponer sanciones que, directa o subsidiariamente impliquen “privación de libertad” (artículo 25).",1,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Martos Navarro, Fernando... [et al.]: Grupo administrativo de instituciones sanitarias del Insalud. Temario. Sevilla: MAD, 2001",España,,,,,,,,,,,,,,,,,,,
113,Diferencias irreconciliables,"Britney Spears se divorcia. Según el sitio tmz.com, la cantante presentó una demanda de divorcio contra su marido, el bailarín Kevin Federline, debido a las “diferencias irreconciliables” entre la pareja. Los documentos fueron presentados ante la Corte Superior de Los Angeles y determinarían el fin de dos años de relación.",1,Arte y Cultura,REA (Corpes Siglo XXI),«Muere célebre músico francés». El Mercurio. Santiago de Chile: 2006-11-08,Chile,,,,,,,,,,,,,,,,,,,
114,Diferencias irreconciliables,"Marisol Aguirre afirmó que su todavía esposo el famoso actor Christian Meier ""dejó de ser el hombre de mis sueños"" y ratificó que se divorciará de él por existir “diferencias irreconciliables”.""Lo quiero mucho porque es el padre de mis hijos, pero la relación está muy deteriorada y no hay marcha atrás"", dijo ""Cuando una relación llega a deteriorarse tanto no hay nada que la recupere (...) dejó de ser el hombre de mis sueños"", manifestó.",1,"Actualidad, ocio y vida cotidiana",REA (Corpes Siglo XXI),"«Esposa lo denuncia por maltrato y desenmascara al ""Zorro"" Christian Meier». Washington Hispanic. Washington D. C. 2007-11-02",Estados Unidos,,,,,,,,,,,,,,,,,,,
115,Diferencias irreconciliables,"El actor Ryan Phillippe ha contestado legalmente a la petición de divorcio de su ex mujer, Reese Witherspoon, con una solicitud de custodia compartida de sus dos hijos. Phillippe presentó su contraoferta el pasado martes y en la misma alega “diferencias irreconciliables” con la madre de sus hijos.",1,"Actualidad, ocio y vida cotidiana",REA (Corpes Siglo XXI),«Cámara». El Comercio.com.pe. Lima: 2007-05-20,Peru,,,,,,,,,,,,,,,,,,,
116,Diferencias irreconciliables,"Edad: 38 años. Contrae matrimonio con su enfermera, Debbie Rowe. Con ella tiene dos hijos —Prince, de cinco años, y Paris, de tres—, pero en 1999 ella pide el divorcio, alegando “diferencias irreconciliables”. ""Es posible que haya vuelto a su cirujano para someterse a otra pequeña intervención, pero es imposible aventurar qué le han hecho"".",1,"Actualidad, ocio y vida cotidiana",REA (Corpes Siglo XXI),"Gisbert, Laura: «AUTODESTRUCCIÓN. La metamorfosis de «Jacko»». El Mundo. Magazine. Madrid: 2002-12-01",España,,,,,,,,,,,,,,,,,,,
117,Diferencias irreconciliables,"Citando “diferencias irreconciliables”, la pareja presentó su solicitud de divorcio el 6 de abril luego de tres años de matrimonio. El 6 de octubre serán libres Oficialmente. Bajo los términos del divorcio, LeBlanc será responsable de la educación de su hija y otras necesidades, y además pagará $15,000 al mes en manutención.
",1,Arte y Cultura,REA (Corpes Siglo XXI),«LeBlanc. En camino el divorcio». San Juan: 2006-09-23,Puerto Rico,,,,,,,,,,,,,,,,,,,
118,Diferencias irreconciliables,"Sin embargo, de acuerdo con las leyes de California, el matrimonio no quedará oficialmente disuelto hasta el 2 de octubre. Pitt (de 41 años), y Aniston, (de 36), se separaron en enero. La protagonista de la serie televisiva Friends pidió el divorcio en marzo, al alegar “diferencias irreconciliables”.",1,"Actualidad, ocio y vida cotidiana",REA (Corpes Siglo XXI),"«Jennifer Aniston y Brad Pitt firman el divorcio». Caracas, 2005-08-24.",Venezuela,,,,,,,,,,,,,,,,,,,
119,Diferencias irreconciliables,"«La convivencia entre madres e hijas, en el pasado, siempre es el resultado de influencias mutuas, caracteres en general diferentes, semejanzas genéticas o “diferencias irreconciliables”, pero, en el fondo, se detecta siempre un influjo que en ocasiones se ejerce más allá de la muerte como en el caso de Mary Shelley, que conoció a su madre a través de la biografía de su padre, pues murió en el parto», comentó Queralt.",0,Ciencias Sociales,REA (Corpes Siglo XXI),«EL LIBRO Título: Madres e hijas en la historia . Autora: María Pilar Queralt del Hierro. Editorial: Temas de hoy. Páginas: 220». El Norte de Castilla. Valladolid: 2002-06-15,España,,,,,,,,,,,,,,,,,,,
120,Diferencias irreconciliables,"Siglos después, Cartagena sigue siendo una población fuertemente estratificada, donde las desigualdades sociales son notorias por el comportamiento feudal de las clases privilegiadas que durante años han detentado el poder económico y político de la ciudad, creando una preocupante marginalidad que puede ser caldo de cultivo de “diferencias irreconciliables”. En este ámbito social aparece la champeta, en Cartagena y otros lugares, como forma de expresión cultural de una población marginada y excluida en todos los aspectos en la ciudad, que se identifica fuertemente con referentes culturales africanos y que por este medio busca restituir una herencia cultural y afectiva que le fue arrebatada.",0,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Abril, Carmen: Entre la champeta y la pared. El futuro económico y cultural de la industria discográfica de Cartagena. Bogotá: Observatorio del Caribe Colombiano, 2004",Colombia,,,,,,,,,,,,,,,,,,,
121,Diferencias irreconciliables,"""Salté antes de que me empujaran pues no me llevaba bien con mi jefe""? ¿O: ""Me informaron que nunca obtendría una promoción y me dieron seis meses para que buscara otro empleo""?. Lo cierto es que todo el tiempo se registran “diferencias irreconciliables” en el trabajo, pero la mayoría de las personas se niega a aceptarlas. Y por lo tanto, cuando deben buscar trabajo, el impulso es responder al inevitable ""¿Qué ocurrió?"" con excusas sobre el deseo de nuevos desafíos.",0,Politica-Economia-Justicia,REA (Corpes Siglo XXI),«Reconociendo dificultades en una profesión». La Nación. Asunción: 2008-06-21,Paraguay,,,,,,,,,,,,,,,,,,,
122,Diferencias irreconciliables,"En tercer lugar, aun cuando el PRI ciertamente llegó muy mermado al Congreso de la Unión, no hubo impedimento para que el tricolor, por la vía de sus bancadas y sus principales portavoces, obtuviera jugosos beneficios del antagonismo entre el PAN y el PRD, ostentándose como un referente estratégico de la negociación y la deliberación legislativa, como fiel de la balanza en aquellas discusiones en donde las posturas estuviesen marcadas por “diferencias irreconciliables” entre las dos primeras fuerzas al interior del Legislativo.",0,Politica-Economia,REA (Corpes Siglo XXI),"Mirón Lince, Rosa María: Entre la hegemonía y la pluralidad. Toluca: Instituto Electoral del Estado de México, 2011",Mexico,,,,,,,,,,,,,,,,,,,
123,Diferencias irreconciliables,"Por eso ha promovido un fichaje sonado: Miguel Hernández, el arquitecto urbanista que diseñó y negoció con las Administraciones el proyecto actual. Este profesional trabajó en DCN entre 2015 y 2019 y abandonó la firma, según fuentes del consejo, por “diferencias irreconciliables” con Antonio Béjar, el que fuera presidente de la firma hasta el 26 de julio pasado. En esa fecha, Béjar declaró como imputado en relación con el caso Villarejo y decidió colaborar con la justicia con testimonios contrarios a los manifestados por el BBVA.",0,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Barrón, Íñigo de: «Merlin condiciona el asalto a la Operación Chamartín a las exigencias de la Comunidad de Madrid». El País. Madrid: 2020-01-14.",España,,,,,,,,,,,,,,,,,,,
124,Diferencias irreconciliables,"Las creencias han marcado el rumbo de la historia. Han desatado guerras, alimentado odios y marcado “diferencias irreconciliables”. Son capaces de movilizar a millones de personas por una causa común, y bajo su influencia se cometen las mayores hazañas y las peores destrucciones. La mayoría aparecen en nuestra vida como parte de nuestra herencia familiar y social, y echan profundas raíces en nuestra mente. No en vano, condicionan manera de comprender el mundo: son el filtro mental a través del cual interpretamos la realidad.",0,Ciencias Sociales,REA (Corpes Siglo XXI),"Orce, Irene: «Lo que crees es lo que creas». Metamorfosis. 2010-04-30",España,,,,,,,,,,,,,,,,,,,
125,Diferencias irreconciliables,"El ingeniero Tulio Capriles Jr. dimitió a la presidencia de la Junta Directiva de la LPB. Capriles, propietario de Toros de Aragua, envió una misiva en la que alega como motivo “diferencias irreconciliables” de las intenciones de algún grupo de retroceder a viejos tiempos equivocados y pasados de moda en temas de claridad, transparencia y respeto a las decisiones"".",0,"Actualidad, ocio y vida cotidiana",REA (Corpes Siglo XXI),«Guevara es el Regreso del Año». El Universal. Caracas: 2009-06-20,Venezuela,,,,,,,,,,,,,,,,,,,
126,Diferencias irreconciliables,"El juez Ramírez acogió la solicitud de De Jesús después de aceptar la renuncia de la Sociedad de Asistencia Legal (SAL), representada ayer por la licenciada Aracelis Acevedo. La abogada informó que había “diferencias irreconciliables” en torno a cómo llevar a cabo la defensa de Tito Kayak.""Soy inocente y la verdad va a salir a relucir muy claramente"", declaró el imputado al salir de la sala judicial.",0,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Hopgood Dávila, Eugenio: «Tito Kayak tendrá dos sombreros en un caso de Ley 54. El acusado asumirá su propia defensa en el juicio». San Juan: 2008-08-07",Puerto Rico,,,,,,,,,,,,,,,,,,,
127,Diferencias irreconciliables,"Todos los capítulos fueron revisados por académicos conocedores del tema de que se trataba y que no tomaron parte en la elaboración de los mismos. La responsabilidad final de cada capítulo fue de quienes aparecen como autores responsables y de los coautores. Las observaciones o discrepancias de los revisores fueron analizadas una por una y discutidas con los compiladores en los casos de diferencias de opinión, y resueltas satisfactoriamente para ambas partes de acuerdo con los autores responsables de los capítulos o los compiladores de cada volumen. En caso de “diferencias irreconciliables”, se incluyó una nota estableciendo el diferendo de opinión.",0,Ciencia y Tecnologia,REA (Corpes Siglo XXI),"Sarukhán, José ... [et al.]: Capital natural de México. Síntesis: Conocimiento actual, evaluación y perspectivas de sustentabilidad. México D. F.: Comisión Nacional para el Conocimiento y Uso de la Biodiversidad, 2009",Mexico,,,,,,,,,,,,,,,,,,,
128,Diferencias irreconciliables,"Había que disimular ""algo"". Me pidió que me fuera rápido y que no me olvidara de decirle a mi hermano que tuviera cuidado. Dos personas que habían jugado para el mismo equipo, ahora estaban en distintos bandos. El tiempo, los pensamientos, van limando lo que tenemos en común y creando “diferencias irreconciliables”. Pero siempre queda el recuerdo de una infancia compartida. Volví por la misma plaza. Y la plaza ya no era la misma. La oscuridad me penetraba. Llevaba un mensaje para transmitir: una enorme responsabilidad.",0,Novela,REA (Corpes Siglo XXI),"Rocca, Araceli: Silencio de familia. La Plata: Editorial de la Universidad de La Plata, 2016",Argentina,,,,,,,,,,,,,,,,,,,
129,Diferencias irreconciliables,"Esther Angulo, la barcelonesa que se esconde bajo el nombre de Estrella Archs, ha emitido un comunicado en el que anuncia que deja el puesto por “diferencias irreconciliables” con la dirección creativa de la marca"". Y, según publica hoy WWD, el viernes se vio al propietario de Ungaro, Asim Abdullah, y a su equipo directivo comiendo en París con el diseñador Giles Deacon.",0,"Actualidad, ocio y vida cotidiana",REA (Corpes Siglo XXI),"De la Torriente, Eugenia: «Adiós a Estrella Archs en Ungaro». Mañana, Carmen; De la Torriente, Eugenia: DELITOS y faldas. 2010-04-19",España,,,,,,,,,,,,,,,,,,,
130,Diferencias irreconciliables,"¿Qué responde uno ante tales aseveraciones, dichas con tanta soltura y convicción? No podía más que permanecer callado y tratar de entender. Sí, cuando estaba con Lasteris era frecuente que, salvo si hablábamos de literatura, política o educación, temas que más o menos domino, me dedicara más bien a escuchar. Mi único problema serio con mi amigo era en tópicos relacionados con el hecho de él ser ateo, mientras que yo soy católico. Después de varias discusiones sobre temas religiosos en las que se pusieron de manifiesto “diferencias irreconciliables”, decidimos no volver a hablar más de eso. Preservar la amistad fue siempre lo más importante.",0,Relato,REA (Corpes Siglo XXI),"Jaramillo Levi, Enrique: «Bajo los viejos faroles». Secreto a voces. San José: Uruk, 2008",Panama,,,,,,,,,,,,,,,,,,,
131,Diferencias irreconciliables,"El coordinador nacional de comunicación social del Instituto Federal Electoral (IFE), Néstor Martínez, presentó su renuncia al cargo debido a “diferencias irreconciliables” en la conducción del área. Ésta fue aceptada ayer por el consejero presidente, Leonardo Valdés. La dimisión, entregada el jueves anterior, se debe a importantes desavenencias con áreas sustanciales del IFE, entre ellas la secretaría ejecutiva. ",0,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"«Dimite coordinador de comunicación del IFE». La Jornada. México, D. F. 2009-02-17",Mexico,,,,,,,,,,,,,,,,,,,
132,Dar a luz,"Cuando Ramos estaba para “dar a luz” el último hijo de Rojas, éste buscó una mujer de nombre María Barreno para que la asistiera. Durante el tiempo que Barreno, permaneció en esta casa, Rojas logró enamorarla y le manifestó ese hecho a su mujer, quien inmediatamente quiso dejarle; pero Rojas consiguió que se quedara allí junto con él y María Barreno para que atendiera a sus hijos. María Barreno insatisfecha con el hecho de que Anastasia Ramos también viviera en la misma casa, consiguió que Rojas la dejara ir so pretexto de ir a visitar a su madre para la fiesta de la Pascua, en la ""Tinajilla"".",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Díaz Szmirnov, Damaris: Génesis de la ciudad republicana: entorno, sociedad y ocio en la ciudad de Panamá. Panamá: Agenda del Centenario, 2001",Panama,,,,,,,,,,,,,,,,,,,
133,Dar a luz,"Se las regalaban a una mujer que acabara de “dar a luz”. Aunque a veces la mujer moría, solían morirse como moscas las recién paridas, y entonces la enterraban con aquella ropa, que era con mucho la mejor que había tenido nunca. Eso no lo sabíamos de inmediato. Braulia se enteraba en alguna parte, y hacia los meses de febrero o marzo, cuando se acercaba la Semana Santa y mi madre empezaba de nuevo a reunir ropa para los expropiados, se paraba en jarras y exclamaba: «¿Se acuerda de la blusa azul que regaló la Navidad pasada?». Mi madre asentía, y yo, que estaba atento a la conversación, trataba en vano de rescatar el aspecto de esa blusa. «Está deshilachándose en el cementerio, doña Estela, allí es donde se está pudriendo.»",1,Novela,REA (Corpes Siglo XXI),"Montero, Mayra: El capitán de los dormidos. Barcelona: Tusquets Editores, 2002",Puerto Rico,,,,,,,,,,,,,,,,,,,
134,Dar a luz,"-¡Ayayay! ¡Ay, Richard! ¡Ay, madrecita! ¡Que alguien me ayude! ¡Voy a “dar a luz” en el carro...! -sollozaba Antonella.",1,Novela,REA (Corpes Siglo XXI),"Celis, Luisa María: Dos zafiros y un rubí. Caracas: 2001",Venezuela,,,,,,,,,,,,,,,,,,,
135,Dar a luz,"Esta tremenda fuerza de la sexualidad femenina parece encerrar todo lo bueno y positivo, pero al mismo tiempo abrir paso a todo lo malo y negativo. Entre lo positivo estaría, en primer lugar, la capacidad de concebir y “dar a luz”, de cuidar y prolongar la vida, pero también de abrirse en la belleza física a la sensualidad y el placer.",1,Arte y Cultura,REA (Corpes Siglo XXI),"Robayo Alonso, Álvaro: La crítica de los valores hegemónicos en el arte colombiano. Bogotá: Convenio Andrés Bello-Ediciones Uniandes, 2001",Colombia,,,,,,,,,,,,,,,,,,,
136,Dar a luz,"Lupita deseaba tener hijos; sin embargo, cada vez que se embarazaba abortaba y nadie sabía por qué. Se había hecho muchos análisis, había visitado a los mejores especialistas y, finalmente, después de quince años de casada, estaba por “dar a luz”.",1,Novela,REA (Corpes Siglo XXI),"Perales Lavin, Coro: Bigote prieto. Una historia de mujeres en la Revolución mexicana. Barcelona: Nihil obstat, 2001",Mexico,,,,,,,,,,,,,,,,,,,
137,Dar a luz,"Los Arquette buscan ahora al hijo que consolide la unión, algo que Lisa Kudrow, casada desde 1995, ya consiguió al “dar a luz” a Julian (ahora de 3 años), un habitué en las grabaciones de ""Friends"". Ella y su marido cultivan una vida muy alejada del glamour de Hollywood. ",1,Arte y Cultura,REA (Corpes Siglo XXI),«Las tres están casadas». El Pais. Montevideo: 2001-10-04,Uruguay,,,,,,,,,,,,,,,,,,,
138,Dar a luz,"La inercia es una de las fuerzas más poderosas en el Paraguay, y, al paso que vamos, las maestras no solo se jubilarán a los 40 años con 25 de aportes, sino que si logran “dar a luz” hasta cinco robustos niños o niñas en ese lapso, se les descuenta un año por chico. ¡Qué generosidad!",1,Ciencias Sociales,REA (Corpes Siglo XXI),"«¿Tienen coronita?». ABC Color. Asunción: una.py/sitios/ABC, 2001-07-03",Paraguay,,,,,,,,,,,,,,,,,,,
139,Dar a luz,"No obstante el sincero amor que unía a la pareja, sus relaciones distaban de ser fáciles. Y esto no porque el estado civil de Portelance fuera un obstáculo sentimental -su matrimonio era producto de un arreglo entre familias y Madame Portelance, ya cumplida su parte al “dar a luz” un hijo, llevaba una vida independiente en la ciudad de Boston-, sino porque sus intereses profesionales no coincidían y apenas encontraban tiempo para verse. Portelance, además de ser un ardiente idealista, era un hombre intenso y dedicado que sólo tenía ojos para sus tareas políticas; cuando no escribía en su gabinete un editorial para el Mercure, redactaba un panfleto contra el Club Massiac; cuando no asistía a una reunión de los Amis des Noirs, tenía una entrevista secreta con un agente abolicionista venido de Inglaterra. ",1,Novela,REA (Corpes Siglo XXI),"Benítez Rojo, Antonio: Mujer en traje de batalla. Madrid: Alfaguara, 2001",Cuba,,,,,,,,,,,,,,,,,,,
140,Dar a luz,"Cuando ocurre un incidente como el de la señora Jazmín Patricio, a punto de “dar a luz”, a quien traían a la vuelta y vuelta por toda la ciudad, exponiendo su vida y la del hijo en su vientre, uno no puede menos que pensar en la irresponsabilidad burocrática de ciertas instituciones. Estos casos suceden prácticamente todos los días y no pocas veces con resultados aciagos.",1,Salud,REA (Corpes Siglo XXI),"FARBER, GUILLERMO: «¿Salud?». Excélsior. México: 2001-09-04",Mexico,,,,,,,,,,,,,,,,,,,
141,Dar a luz,"Escuchó canciones de niños. En alguna casa vecina se celebraba un cumpleaños. La voz de un adulto les acompañó y Elías escuchó absorto. Se preguntó por qué no habían tenidos hijos. Tal vez las cosas hubiesen sido diferentes. El metabolismo de una persona puede cambiar al “dar a luz”, había asegurado el doctor.",1,Relato,REA (Corpes Siglo XXI),"Calcedo, Gonzalo: «No andes descalzo por casa». Apuntes del natural. Madrid: Páginas de Espuma, 2002",España,,,,,,,,,,,,,,,,,,,
142,Dar a luz,"A Mami le comenzaron los dolores por la tarde un once de agosto! Se fue a “dar a luz” poco después de oscurecer ¡llevaba una cara de susto. Recuerdo que le pregunté cuántos días tardaría en regresar, pues no quería dormir en otra casa. Le rogué que aguantara hasta la mañana siguiente, pero me explicó que eso no se podía aguantar. Me consoló diciendo que mientras más rápido se fuera, más rápido regresaría (ahora sé que no necesariamente es así).",1,Relato,REA (Corpes Siglo XXI),"Zayas, Haydée: «Sapitos de río». Anamar y otros relatos. San Juan: Universidad de Puerto Rico, 2001",Puerto Rico,,,,,,,,,,,,,,,,,,,
143,Dar a luz,"En un evento exclusivo de televisión, Nacer viaja a nueve países con zonas de horario distintas en el transcurso de un mismo día, para conocer a once familias que se preparaban para la llegada de sus nuevos miembros. Mujeres de diferentes ambientes étnicos, culturales y económicos están conectadas a través de la experiencia común de “dar a luz”. Nacer da a los televidentes la oportunidad de tener un vistazo acerca de las tradiciones únicas que rodean el nacimiento de un bebé, el primer día en la vida del niño, y cómo, en todas partes del planeta, estos recién llegados cambian drásticamente la vida de sus familias.",1,Arte y Cultura,REA (Corpes Siglo XXI),«Discovery Channel estrena el programa el 1º de enero. Nacer: la historia de 12 bebés nacidos el mismo día pero en diferente lugar». La Jornada. México D. F. 2001-12-29,Mexico,,,,,,,,,,,,,,,,,,,
144,Dar a luz,"Había sido detenida junto a su marido al comenzar la guerra, una semana después de “dar a luz” a su segunda hija. Las niñas se quedaron con la abuela paterna. Ella fue trasladada de una cárcel a otra y acababan de traerla desde Saturrarán.",1,Novela,REA (Corpes Siglo XXI),"Chacón, Dulce: La voz dormida. Madrid: Alfaguara, 2002",España,,,,,,,,,,,,,,,,,,,
145,Dar a luz,"Porque lo que hace que brote una planta no es el hombre, sino la semilla fértil, la buena tierra, el sol y la lluvia, y de modo idéntico podemos afirmar que el que enseña o dice enseñar no produce aprendizaje, esto es, no hace aprender al otro, sino que es uno mismo el que aprende, cuando es capaz de pensar por sí mismo. El aprendizaje es algo que se da en el interior de uno mismo, como el recuerdo de las cosas. El que enseña se limita a ayudar a “dar a luz” ese aprendizaje.",0,Novela,REA (Corpes Siglo XXI),"García Valiño, Ignacio: Las dos muertes de Sócrates. Madrid: Alfaguara, 2003",España,,,,,,,,,,,,,,,,,,,
146,Dar a luz,"Después de “dar a luz” otro gran ""descubrimiento"" suyo, como que ""Paraguay tiene un profesionalismo muy pobre, quizás uno de los más pobres de América, que produce un fútbol de muy bajo nivel"" (La Nación, 31-01), Markarián procedió a realizar su mejor ""acto"" del Sudamericano: Renunciar a su cargo de entrenador de la selección paraguaya. Obviamente sabía, que todos los medios lo iban a solicitar, que sería una vez más la vedette del periodismo, como sabe también, que si algo abunda acá en Paraguay son los adulones y los aplaudidores. Muchos, comenzando por el mandamás de la APF, Oscar Harrison, iban a formar cola para pedirle que se quedara.",0,"Actualidad, ocio y vida cotidiana",REA (Corpes Siglo XXI),"Peña, Sergio: «¡Basta de farsas, Markarián!». ABC Color. Asunción: 2001-02-08",Paraguay,,,,,,,,,,,,,,,,,,,
147,Dar a luz,"Que la UE necesita sustituir la maraña de tratados por un texto más sencillo y comprensible es evidente; que redactar bien un nuevo tratado equivalga a hacer una Constitución no es tan seguro; que la UE esté madura para darse una verdadera Constitución, mucho más dudoso; que Convención y Conferencia Intergubernamental montadas, con su adobo burocrático, en la metafórica bicicleta de Hallstein -o corre o se cae- sean capaces de “dar a luz” un texto con ese nombre y vitola, más que probable. Pero eso sería una Constitución epicena. Esto es, de género, por indeterminado, ambiguo.",0,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Herrero y Rodríguez de Miñón, Miguel: «La bicicleta apócrifa». El País. Madrid: 2002-11-24",España,,,,,,,,,,,,,,,,,,,
148,Dar a luz,"Se ha logrado “dar a luz” una Constitución auténtica y legítima, sin que con ello se quiera dar a entender que estamos ante la Constitución perfecta e ideal, sino que es la que más se aproxima a los deseos de los partidos políticos (el 31 de octubre de 1978 fue aprobada por las Cortes Generales) y de los ciudadanos españoles (el pueblo español la ratificó en referéndum celebrado el 6 de diciembre de 1978).",0,Politica-Economia-Justicia,REA (Corpes Siglo XXI),"Martos Navarro, Fernando... [et al.]: Grupo administrativo de instituciones sanitarias del Insalud. Temario. Sevilla: MAD, 2001",España,,,,,,,,,,,,,,,,,,,
149,Dar a luz,"Por otra parte, la precaria situación de las personas que viven en la miseria puede determinar incluso el cambio de naturaleza de la maternidad. Algunas de sus maternidades, patéticas en extremo, denuncian la desnutrición, el desamparo y la infelicidad que produce el “dar a luz” en la pobreza absoluta. Fenómenos que se manifiestan a través de la fealdad, el desasosiego o la expresión de espanto ante el futuro.",0,Arte y Cultura,REA (Corpes Siglo XXI),"Robayo Alonso, Álvaro: La crítica de los valores hegemónicos en el arte colombiano. Bogotá: Convenio Andrés Bello-Ediciones Uniandes, 2001",Colombia,,,,,,,,,,,,,,,,,,,
